Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,La Vista 04,05-09-2017,Mashreq Bank (Public Joint Stock Company),1,success,17-05-2008,Silicon Oasis,128,0,Nadd Hessa,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),buildings,Damak Hills - Jasmine,11-12-2018,Abu Dhabi Commercial Bank,2,success,01-06-2014,DAMAC HILLS,168,0,Al Hebiah Third,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Business Tower,14-02-2011,Abu Dhabi Commercial Bank,1,success,27-03-2007,Business Bay,166,0,Business Bay,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Exotica Bay Marina,30-09-2026,First Abu Dhabi Bank PJSC,1,effective,24-08-2023,Jumeirah Village Circle,93,0,Al Barsha South Fourth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Alta View Sky Homes,30-06-2029,Abu Dhabi Islamic Bank,1,under construction,01-08-2025,Jumeirah Village Circle,507,0,Al Barsha South Fourth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Agua Residences by City Developers - Tower 1,31-12-2027,National Bank of Fujairah PJSC,1,under construction,01-08-2025,Palm Deira,61,0,Palm Deira,
Dubai Municipality,FINISHED,Business Bay (LLC),buildings,Paramount Tower Hotel and Residence,29-03-2022,Commercial Bank of Dubai (P.S.C.),1,success,01-07-2015,,799,0,Business Bay,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Rivera 39,04-03-2024,Abu Dhabi Commercial Bank,1,success,12-12-2018,Meydan One Community,171,0,Al Merkadh,
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,La Perla Homes 12,10-01-2024,First Abu Dhabi Bank PJSC,1,success,20-09-2022,Jumeirah Village Circle,1,17,Al Barsha South Fourth,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Continental Tower,10-04-2017,Abu Dhabi Commercial Bank,1,success,09-06-2011,Dubai Marina,224,0,Marsa Dubai,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Benghatti Corner,31-03-2024,Sharjah Islamic Bank,1,success,01-10-2022,Jumeirah Village Circle,727,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,buildings,Collective 2.0,31-03-2022,Dubai Islamic Bank (Public Joint Stock Company),2,success,26-01-2019,Dubai Hills Estate,495,0,Hadaeq Sheikh Mohammed Bin Rashid,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Mirabella 3,17-12-2010,#VALUE!,0,success,06-04-2008,Jumeirah Village Circle,0,20,Al Barsha South Fourth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Eltierra Heights,31-12-2028,National Bank of Ras Al Khaimah PJSC,1,under construction,19-06-2025,Jumeirah Islands,357,0,Al Thanyah Fifth,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Jewels Residence,30-10-2023,Abu Dhabi Commercial Bank,1,success,31-03-2018,Arjan,463,0,Al Barshaa South Third,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Zubaida Residence,,Mashreq Bank (Public Joint Stock Company),1,success,01-04-2017,Majan,62,0,Wadi Al Safa 3,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),Villa complex,Cities of Rhyme 1,31-10-2025,Abu Dhabi Commercial Bank,0,success,01-08-2022,Mudon,0,224,Al Hebiah Sixth,
Dubai Municipality,NOT_STARTED,Emaar Development (Public Shareholding Company),buildings,Madain,28-02-2028,Commercial Bank of Dubai (P.S.C.),1,under construction,25-02-2025,Dubai Marina,214,0,Marsa Dubai,
Dubai Development Authority,NOT_STARTED,Elias and Mustafa Kaldari Investment and Development Management (LLC),buildings,Dear Milan 55,30-04-2027,Abu Dhabi Commercial Bank,1,under construction,16-04-2025,City Of Arabia,465,0,Wadi Al Safa 4,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - Brookfield -3,06-02-2019,Abu Dhabi Commercial Bank,0,success,01-07-2013,DAMAC HILLS,0,20,Al Hebiah Third,
Licenses,ACTIVE,Palm Jumeirah Company (LLC),buildings,Ava At Palm Jumeirah from Wishes,31-12-2025,Ajman Bank PJSC,1,effective,30-07-2022,Palm Jumeirah,17,0,Palm Jumeirah,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Terraces Marassi Drive,01-06-2024,Arab Bank for Investment and Foreign Trade (Public Shareholding Company),1,success,01-03-2022,Business Bay,125,0,Business Bay,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Zazin One,30-12-2021,First Abu Dhabi Bank PJSC,1,success,15-01-2020,Jumeirah Village Triangle,86,0,Al Barsha South Fifth,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Millennium Binghatti Residences Business Bay,15-07-2021,Sharjah Islamic Bank,1,success,25-09-2017,Business Bay,246,0,Business Bay,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,Afyon Residence,31-03-2027,Emirates NBD Bank (P.S.C.),1,under construction,28-02-2025,Dubai South Residential District,66,0,Madinat Al Mataar,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Geneva,31-03-2024,Abu Dhabi Commercial Bank,1,success,01-01-2022,Jumeirah Village Circle,82,0,Al Barsha South Fourth,
Dubai Municipality,ACTIVE,Eden Hills LLC,Villa complex,Aiden Hills,25-12-2026,Emirates NBD Bank (P.S.C.),0,effective,01-03-2025,,0,158,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Municipality,PENDING,Midan Group (LLC),buildings,White Opals Two,15-06-2028,Abu Dhabi Commercial Bank,1,Under registration,15-09-2025,Mohammed Bin Rashid AL Maktoum District 11,51,0,Wadi Al Safa 3,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Arantes,07-03-2013,Mashreq Bank (Public Joint Stock Company),0,success,22-01-2009,Jumeirah Village Circle,0,16,Al Barsha South Fourth,
Dubai Development Authority,NOT_STARTED,DHAM Free Zone LLC,buildings,Atilis in Dubai Design District,14-08-2029,National Bank of Ras Al Khaimah PJSC,1,under construction,14-08-2025,Business Park,280,0,Zaabeel Second,
Dubai Municipality,ACTIVE,Midan Group (LLC),Villa complex,Kiturah Reserve,30-06-2027,Emirates NBD Bank (P.S.C.),6,effective,01-12-2022,HADAEQ SHEIKH MOHAMMED BIN RASHID - DISRICT 7,551,93,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Development Authority,ACTIVE,Ramram LLC,buildings,Erin Greens,30-11-2022,Mashreq Bank (Public Joint Stock Company),2,effective,14-02-2009,Arjan,124,0,Al Barshaa South Third,
Dubai Development Authority,ACTIVE,Majid Al Futtaim Integrated Cities Projects UAE LLC,Villa complex,Aura,31-08-2024,Emirates NBD Bank (P.S.C.),0,effective,06-11-2021,TILAL AL GHAF,0,808,Al Hebiah Fourth,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Albero from Euro24,,Mashreq Bank (Public Joint Stock Company),1,effective,30-11-2023,Liwan1,192,0,Wadi Al Safa 2,
Dubai Development Authority,NOT_STARTED,Dubai Properties (LLC),buildings,Benghatti Aqua Rise,31-10-2026,First Abu Dhabi Bank PJSC,5,under construction,15-03-2025,Business Bay,1584,0,Business Bay,
Dubai Development Authority,NOT_STARTED,Elias and Mustafa Kaldari Investment and Development Management (LLC),buildings,Dear Milan 18,16-04-2027,Abu Dhabi Commercial Bank,1,under construction,16-04-2025,City Of Arabia,1541,0,Wadi Al Safa 4,
Licenses,ACTIVE,Al Farjan (LLC),buildings,The Stella Residences,,Abu Dhabi Commercial Bank,1,effective,01-03-2024,Al Furjan,236,0,Jabal Ali First,
Licenses,ACTIVE,Nakheel Company (P.S.C.),villas,K Palm Jebel Ali - The Palm,01-12-2027,Emirates NBD Bank (P.S.C.),0,effective,02-12-2023,Palm Jabal Ali,0,0,Palm Jabal Ali,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Marquez Signature,31-12-2023,Emirates Islamic Bank Public Joint Stock Company,1,success,01-07-2022,Arjan,91,0,Al Barshaa South Third,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Tribane Serenik Residences,15-10-2027,Emirates NBD Bank (P.S.C.),2,under construction,15-10-2025,Palm Deira,164,0,Palm Deira,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Botanica,10-11-2011,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-06-2009,Dubai Marina,371,0,Marsa Dubai,
Licenses,FINISHED,Al Farjan (LLC),buildings,Candice Aster Hotel Apartments,20-09-2017,Abu Dhabi Commercial Bank,1,success,01-03-2016,Al Furjan,229,0,Jabal Ali First,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,I Belgravia Heights,30-10-2022,Commercial International Bank PJSC,1,success,01-11-2017,Jumeirah Village Circle,156,0,Al Barsha South Fourth,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Ra1 N Sakan,23-02-2025,Abu Dhabi Islamic Bank,1,effective,23-01-2023,Jumeirah Village Circle,146,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),villas,Marbella village,01-08-2022,Dubai Islamic Bank (Public Joint Stock Company),0,success,30-04-2018,Dubai Sports City,0,0,Al Hebiah Fourth,
Dubai Development Authority,FINISHED,DHAM Free Zone LLC,buildings,Dear Vista,30-04-2025,Abu Dhabi Commercial Bank,1,success,27-04-2023,Dubai Studio City,163,0,Al Hebiah Second,
Licenses,NOT_STARTED,International City (LLC),buildings,Sierra Vista Residences,31-03-2027,United Bank Limited (Management Office),1,under construction,05-04-2025,International City Phase 3,51,0,Warsan Fourth,
Dubai Development Authority,PENDING,DHAM Free Zone LLC,buildings,Azur Park Residences,07-08-2027,Abu Dhabi Islamic Bank,0,Under registration,07-09-2025,Dubai Science Park,0,0,Al Barshaa South Second,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Symbolic Alpha,24-02-2025,Emirates NBD Bank (P.S.C.),1,success,31-08-2023,Liwan1,97,0,Wadi Al Safa 2,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Arabian Gate,01-10-2020,Emirates Islamic Bank Public Joint Stock Company,1,success,01-10-2015,Silicon Oasis,716,0,Nadd Hessa,
Dubai Municipality,ACTIVE,Midan Group (LLC),buildings,Dear Rivera 55,13-03-2027,Commercial Bank of Dubai (P.S.C.),1,effective,13-03-2025,Meydan One Community,124,0,Al Merkadh,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,BLVD Heights,30-04-2020,Dubai Islamic Bank (Public Joint Stock Company),3,success,01-12-2015,DownTown Dubai,558,0,Burj Khalifa,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Lavista 01,13-03-2014,Emirates Islamic Bank Public Joint Stock Company,1,success,17-05-2008,Silicon Oasis,128,0,Nadd Hessa,
Dubai Development Authority,NOT_STARTED,Liwan (LLC),buildings,III The Heaven,31-12-2027,Dubai Islamic Bank (Public Joint Stock Company),1,under construction,01-08-2025,Majan,85,0,Wadi Al Safa 3,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,The H3 from Aurora,,National Bank of Fujairah PJSC,1,success,02-05-2023,Jumeirah Village Circle,147,0,Al Barsha South Fourth,
Dubai Development Authority,NOT_STARTED,Dubai Land Residences (LLC),buildings,Cove Edition Residence 6 by Imtiaz,10-09-2027,Ajman Bank PJSC,1,under construction,10-06-2025,Dubai Land Residence Complex,264,0,Wadi Al Safa 5,
Dubai Municipality,NOT_STARTED,Shoba LLC,buildings,II Shoba Central Phase,30-06-2030,Dubai Islamic Bank (Public Joint Stock Company),2,under construction,01-10-2025,DMCC-EZ2,2143,0,Jabal Ali First,
Licenses,PENDING,Al Farjan (LLC),buildings,Kingdom Gate,31-03-2027,Abu Dhabi Commercial Bank,0,Under registration,01-04-2025,Al Furjan,0,0,Jabal Ali First,
Dubai Development Authority,FINISHED,Dubai Healthcare City Free Zone LLC,buildings,Benghatti Avenue,26-04-2022,Sharjah Islamic Bank,1,success,01-10-2019,Dubai Health Care City Phase 2,639,0,Al Jadaf,
Dubai Development Authority,FINISHED,Creek Heights Real Estate LLC,buildings,Creek Heights,01-02-2015,Emirates NBD Bank (P.S.C.),1,success,19-01-2006,Dubai Health Care City Phase 1,0,0,Um Hurair Second,
Licenses,FINISHED,Damac Properties (LLC),villas,Royal Golf Villa,01-11-2015,Abu Dhabi Commercial Bank,0,success,01-05-2014,Jumeirah Golf Estates,0,1,Me'Aisem First,
Dubai Municipality,FINISHED,Shoba LLC,buildings,II Shoba Hartland Greens Face,06-01-2020,Abu Dhabi Islamic Bank,2,success,01-09-2016,SOBHA HARTLAND,354,0,Al Merkadh,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Luma Park Views,30-06-2026,Mashreq Bank (Public Joint Stock Company),1,effective,01-07-2023,Jumeirah Village Circle,606,0,Al Barsha South Fourth,
Dubai Development Authority,NOT_STARTED,Liwan (LLC),buildings,Marquez One,31-12-2028,National Bank of Fujairah PJSC,1,under construction,01-10-2025,Arjan,489,0,Al Barshaa South Third,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Cosmopolitan,13-03-2014,Abu Dhabi Commercial Bank,1,success,01-04-2010,Business Bay,368,0,Business Bay,
Licenses,FINISHED,Jumeirah Park (LLC),villas,Jumeirah Gardens - 7B&C,28-02-2016,Mashreq Bank (Public Joint Stock Company),0,success,01-06-2013,Jumeirah Park,0,176,Al Thanyah Fifth,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R050,30-01-2014,Mashreq Bank (Public Joint Stock Company),1,success,01-05-2009,Liwan1,73,0,Wadi Al Safa 2,
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,Palace Real Estate,26-01-2017,Emirates NBD Bank (P.S.C.),0,success,01-05-2015,Jumeirah Village Circle,0,13,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,III Ellington House,31-07-2025,Abu Dhabi Commercial Bank,1,effective,07-02-2023,Dubai Hills Estate,110,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Development Authority,NOT_STARTED,Liwan (LLC),buildings,Jade Tower,31-03-2027,Abu Dhabi Commercial Bank,1,under construction,01-04-2024,Majan,436,0,Wadi Al Safa 3,
Dubai Development Authority,NOT_STARTED,Dubai Land Residences (LLC),buildings,Arc Terraces,31-12-2027,Mashreq Bank (Public Joint Stock Company),1,under construction,01-04-2025,Dubai Land Residence Complex,131,0,Wadi Al Safa 5,
Dubai Municipality,NOT_STARTED,Damac Miri Investments LLC,buildings,Damac Riverside Views - Capri 2,31-03-2029,Mashreq Bank (Public Joint Stock Company),5,under construction,11-08-2025,,576,0,Dubai Investment Park Second,
Dubai Municipality,FINISHED,Midan Group (LLC),villas,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3 - Villas",30-12-2023,Dubai Islamic Bank (Public Joint Stock Company),0,success,01-10-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,0,0,Al Merkadh,
Licenses,ACTIVE,Al Farjan (LLC),buildings,Minati Houses 1,30-09-2026,First Abu Dhabi Bank PJSC,1,effective,29-04-2024,Al Furjan,82,0,Jabal Ali First,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Golden Wood Views 5,14-10-2026,Abu Dhabi Commercial Bank,1,effective,14-10-2022,Jumeirah Village Circle,161,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),villas,Damac Lagoons - Malta (1),29-09-2025,First Abu Dhabi Bank PJSC,0,effective,23-08-2022,,0,0,Al Hebiah Fifth,
Licenses,FINISHED,Dubai Multi Commodities Centre,buildings,Platinum Tower,23-12-2012,Private contribution financing,1,success,01-09-2007,Jumeirah Lakes Towers,453,0,Al Thanyah Fifth,
Licenses,ACTIVE,Al Nakheelah - Deera (LLC),buildings,Sunset by One is a franchise,25-12-2026,First Abu Dhabi Bank PJSC,1,effective,25-12-2024,Palm Deira,66,0,Palm Deira,
Dubai Development Authority,ACTIVE,Maras Real Estate (LLC),buildings,Beatles from Danube,31-12-2025,Ajman Bank PJSC,2,effective,01-03-2023,WARSAN FIRST DEVELOPMENT,350,0,Al Warsan First,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Riva Residences,30-06-2022,Abu Dhabi Commercial Bank,1,success,15-04-2018,Business Bay,604,0,Business Bay,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,AG Central,31-10-2026,Emirates NBD Bank (P.S.C.),1,effective,31-10-2023,Dubai Land Residence Complex,96,0,Wadi Al Safa 5,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Tiger Sky Tower,,Emirates NBD Bank (P.S.C.),1,effective,01-05-2024,Business Bay,849,0,Business Bay,
Dubai Municipality,ACTIVE,Maras Real Estate (LLC),buildings,Casa A E H A S,31-05-2027,Emirates NBD Bank (P.S.C.),1,effective,01-06-2025,Dubai Water Canal,33,0,Al Wasl,
Dubai Development Authority,ACTIVE,Emaar Properties (P.S.C.),buildings,Ro? The house's residences from?,30-04-2026,Commercial Bank of Dubai (P.S.C.),1,effective,30-09-2023,DownTown Dubai,349,0,Burj Khalifa,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,Dear Vince 7,28-01-2026,Abu Dhabi Commercial Bank,6,under construction,29-01-2024,Dubai World Central,2358,0,Madinat Al Mataar,
Dubai Development Authority,NOT_STARTED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,The Baltimore,30-09-2027,First Abu Dhabi Bank PJSC,1,under construction,18-05-2025,TOWN SQUARE,167,0,Al Yelayiss 2,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Royal Residence 1,31-12-2014,Dubai Islamic Bank (Public Joint Stock Company),1,success,07-06-2008,Dubai Sports City,305,0,Al Hebiah Fourth,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Tower Five,24-07-2026,Abu Dhabi Islamic Bank,1,effective,20-03-2024,Jumeirah Village Circle,345,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Eden,03-06-2023,Abu Dhabi Commercial Bank,0,success,09-03-2020,,0,362,Al Yufrah 1,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,genuine,31-10-2018,Commercial Bank of Dubai (P.S.C.),0,success,01-06-2015,,0,47,Wadi Al Safa 6,
Dubai Development Authority,ACTIVE,Dubai Properties (LLC),buildings,Alba Tower,30-06-2028,Commercial Bank of Dubai (P.S.C.),1,effective,30-09-2024,Jumeirah Garden City,73,0,Al Satwa,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Flora Ail,18-01-2028,Emirates Islamic Bank Public Joint Stock Company,3,under construction,18-12-2024,Palm Deira,251,0,Palm Deira,
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),Villa complex,Arabian Squares - May,30-09-2027,Emirates NBD Bank (P.S.C.),0,effective,09-08-2023,,0,298,Wadi Al Safa 5,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Nawana from Wadan,01-09-2027,First Abu Dhabi Bank PJSC,1,under construction,01-09-2025,Palm Deira,57,0,Palm Deira,
Dubai Development Authority,PENDING,Liwan (LLC),buildings,Symbolic Altus,01-05-2027,National Bank of Fujairah PJSC,1,Under registration,01-10-2025,Liwan1,108,0,Wadi Al Safa 2,
Dubai Municipality,FINISHED,Emaar Development (Public Shareholding Company),buildings,Grande,30-06-2022,Abu Dhabi Commercial Bank,4,success,24-10-2017,DownTown Dubai,906,0,Burj Khalifa,
Dubai Development Authority,NOT_STARTED,Liwan (LLC),buildings,Bottega Nové,24-10-2026,Emirates NBD Bank (P.S.C.),1,under construction,25-02-2025,Majan,60,0,Wadi Al Safa 3,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Zenith Tower A1,28-08-2012,Abu Dhabi Commercial Bank,1,success,28-08-2007,Dubai Sports City,197,0,Al Hebiah Fourth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Vivante Residences by Metura,01-01-2028,Abu Dhabi Commercial Bank,1,under construction,01-01-2025,Jumeirah Village Circle,476,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,Arabian Ranches? Al-Furada 2,30-03-2008,Mashreq Bank (Public Joint Stock Company),0,success,30-03-2007,Arabian Ranches - 1,0,0,Wadi Al Safa 6,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Weybridge Gardens,,Emirates Islamic Bank Public Joint Stock Company,1,effective,15-10-2023,Dubai Land Residence Complex,187,0,Wadi Al Safa 5,
